Repo,PR,Title,Phase,Time to Merge (Hours),Comments,Reviews,Additions,Deletions,Total Changes,Merged At,Author
PDS-Farmvet/backend,132,release-3.0.0,Experimental (Sprint 3-4),120.92055555555555,0,2,13813,8404,22217,2025-11-10 18:47:07,theycelz
PDS-Farmvet/backend,100,chore/prompt code review,Experimental (Sprint 3-4),0.004166666666666667,0,0,7814,7423,15237,2025-10-27 22:02:30,marcelloAnth
PDS-Farmvet/backend,97,chore: adiciona prompt da revisão por llm,Experimental (Sprint 3-4),0.021111111111111112,0,1,201,0,201,2025-10-27 21:35:23,theycelz
PDS-Farmvet/backend,162,docs: Atualizar README com funcionalidades e diagramas de arquitetura,Experimental (Sprint 3-4),0.08138888888888889,0,3,103,35,138,2025-11-26 04:53:09,theycelz
PDS-Farmvet/backend,161,hotfix: kits nao funcionando,Experimental (Sprint 3-4),0.10083333333333333,0,1,51,147,198,2025-11-26 03:51:07,theycelz
PDS-Farmvet/backend,159,feat: movimentação de kits,Experimental (Sprint 3-4),5.277222222222222,1,2,1694,367,2061,2025-11-26 00:54:21,jecelen
PDS-Farmvet/backend,158,docs: reestruturação completa do README e documentação Swagger,Experimental (Sprint 3-4),16.405277777777776,0,2,764,626,1390,2025-11-25 19:27:38,theycelz
PDS-Farmvet/backend,154,feat: corrige a usabilidade de login,Experimental (Sprint 3-4),76.69083333333333,1,1,410,111,521,2025-11-24 00:31:25,GuilhermeCupertino
PDS-Farmvet/backend,153,Hotfix/corrige seed,Experimental (Sprint 3-4),0.019444444444444445,1,0,6,9,15,2025-11-19 18:25:56,marcelloAnth
PDS-Farmvet/backend,152,hotfix: adiciona script para verificação de extensões PHP necessárias e …,Experimental (Sprint 3-4),0.005833333333333334,0,0,114,9,123,2025-11-19 18:17:20,GilvanFe
PDS-Farmvet/backend,151,test: conserta seeds,Experimental (Sprint 3-4),5.123888888888889,0,2,1356,387,1743,2025-11-19 03:15:58,marcelloAnth
PDS-Farmvet/backend,150,refactor: padroniza rotas REST e integra sistema de Kits,Experimental (Sprint 3-4),0.7038888888888889,0,2,1266,1112,2378,2025-11-18 20:00:40,theycelz
PDS-Farmvet/backend,149,feat: implementa-kits,Experimental (Sprint 3-4),1.146388888888889,0,12,677,16,693,2025-11-17 22:02:31,theycelz
PDS-Farmvet/backend,147,feat: login,Experimental (Sprint 3-4),51.10638888888889,0,9,1387,199,1586,2025-11-19 01:55:04,GuilhermeCupertino
PDS-Farmvet/backend,146,hotfix: erro em execução de testes,Experimental (Sprint 3-4),1.2752777777777777,0,1,56,11,67,2025-11-10 21:06:22,marcelloAnth
PDS-Farmvet/backend,145,docs: swagger documentation,Experimental (Sprint 3-4),23.655833333333334,0,2,3219,115,3334,2025-11-11 19:03:34,GilvanFe
PDS-Farmvet/backend,139,feat: adiciona arquivo de licença BSD 3-Clause ao repositório,Experimental (Sprint 3-4),0.025555555555555557,0,2,58,0,58,2025-11-10 18:46:06,theycelz
PDS-Farmvet/backend,138,fix: adiciona validação de requerimento em medicações obrigatórias,Experimental (Sprint 3-4),5.821111111111111,1,3,34,1,35,2025-11-10 18:30:19,jecelen
PDS-Farmvet/backend,137,test: teste services,Experimental (Sprint 3-4),97.40833333333333,1,3,956,163,1119,2025-11-10 18:05:39,marcelloAnth
PDS-Farmvet/backend,136,hotfix: roda lint,Experimental (Sprint 3-4),0.034722222222222224,0,1,419,478,897,2025-11-05 22:11:23,theycelz
PDS-Farmvet/backend,135,"feat: otimizações Docker - Alpine, OPcache e seeds inteligentes",Experimental (Sprint 3-4),0.03722222222222222,0,2,61,21,82,2025-11-05 22:01:15,theycelz
PDS-Farmvet/backend,134,"Feat: adiciona kit e itemKit a migrations, entity e table",Experimental (Sprint 3-4),0.14555555555555555,1,2,231,0,231,2025-11-05 21:48:59,jecelen
PDS-Farmvet/backend,133,fix: Regenerar composer.lock para corrigir jobs do CI,Experimental (Sprint 3-4),0.04111111111111111,0,1,136,69,205,2025-11-05 20:24:04,theycelz
PDS-Farmvet/backend,131,fix: movimentacoes ,Experimental (Sprint 3-4),3.33,1,3,84,30,114,2025-11-05 21:06:31,jecelen
PDS-Farmvet/backend,130,fix: correcao de bug relatorio e tela de dashboard,Experimental (Sprint 3-4),0.2813888888888889,0,3,4,4,8,2025-11-04 21:47:28,GuilhermeCupertino
PDS-Farmvet/backend,129,hotfix: corrige bugs pt 2 #32 #33 #36,Experimental (Sprint 3-4),0.5305555555555556,1,2,129,109,238,2025-11-04 21:50:38,theycelz
PDS-Farmvet/backend,128,hotfix: corrige configuração Docker para comunicação frontend-backend,Experimental (Sprint 3-4),0.13527777777777777,0,1,115,41,156,2025-11-04 19:03:03,theycelz
PDS-Farmvet/backend,121,fix: atualiza formatacao de itens no back,Experimental (Sprint 3-4),20.620833333333334,0,2,3,3,6,2025-11-04 17:45:28,GuilhermeCupertino
